,cod_accidente,descripcion_del_hecho - Final,responsabilidad
548,aa    ,aseg circulando heras doblar continuar darraguira escucha ruido grito baja ve bicicleta tirada piso lado derecha auto ayuda levantarse ofrece llevarla hispotal justo pasaba patrullero llaman llevan hospital hacerle revision,comprometida
549,aci   ,asegurado detenido rucci maniobra girar hacia atenas impacta parte delantera tercero circulaba rucci desplazamientos bicicleta iba solo ocupante cae piso presentaba dolor brazo ,discutida
550,am    ,venia manejando miguel cane interseccin calandria moto llego frenar produce colisin moto cae piso,comprometida
551,am    ,circulaba balbin gire hacia antartida argentina tercero adelant colisiona parte lateral derecha unidad tercero moto circulaban personas masc fem ,comprometida
552,aa    ,asegurado circulaba arce doblar hacia tomar maure produce colision tercero circulaba ultima lesionados intercambiamos datos ,comprometida
553,am    ,venia circulando alfonsin llegando oncativo delante mio tenia auto quiero sobrepasar piso pasar auto moto toco guardabarro delantero izquierda chicos cayeron raspados doloridos asisto pasamos datos voy lugar,comprometida
554,peatã“n,detenida semaforo arroyo cerrito detras camioneta amarok semaforo puso arranque doblar tomar autopista camioneta fren gir evitar avance toque espejo peatn persona manifesto dolor brazo derecha intervieno same atendio tercero retiro propios medios lugar ,comprometida
555,am    ,redgreenluecirc peron hacia capital motociclista acompanante freno semaforo alcance frenar colisione atras cayeron piso solo golpes ,comprometida
556,am    ,aseg circulaba guardia nacional pone giro girar hacia jose enrique rodo impacta espejo retrovisor izquierda moto circulaba guardia nacional quiere sobrepasar aseg izquierda cae piso tenia presentaba lesiones aparentes intervinientes,comprometida
557,aa    ,circulando arribenos doble habia vehiculos estacionados ambas manos vehiuclo venia contraria da paso maniobro hacia impactado pareja persona iba caminando lateral delantero derecha retrovisor lesiones desplazamientos ,concurrente
558,am    ,circulando guarda vieja repente roce moto detenida parte delantera moto cayo piso levanto solo puesto moto andando intervencion,comprometida
559,am    ,circulaba mitre llegar interseccion comienzo doblar ahi siento gdd producido moto motociclista cae piso levanta propios medios intervencion policial same ofreci llamar same auxiliarlo quiso mas terceros involucrados lesionados datos tercero julian oviedo color oscuro atmasegurado ,comprometida
560,am    ,circulaba maipu interseccion rios moto circulaba maipu contrario gira giro luz habilitada circulacin consecuencia puedo evitar impactarla lateral derecha moto produce caida motociclista indica lesion incorpora propiosmedios ,discutida
561,am    ,asegurado circulando yrigoyen girar balcarce colisionado lateral derecha tercero moto personas caen asfalto levantan propios luego intercambiar datos retiran propios medios ,comprometida
562,am    ,asegurado circulando toldos impacta parte delantera lateral izquierda tercero moto circulaba don cristobal ocupantes cascos puesto producto mismo caen piso levantan medios intervencion policial,comprometida
563,peatã“n,asegurado circulando buenaventura direccion hacia hipolito yrigoyen semaforo hacia lado lomas zamora entrando peaton misma tocado asegurado parte delantera peaton cae piso asegruado llama same provincia peaton atendido trasladado,comprometida
564,am    ,circulaba mariano moreno coloco luz giro girar moto quiere sobrepasar realizar giro impacta lateral izquierda trasero motoquero sufre lesiones visibles cae alpiso retira medios datos tercero ballon ezequiel jose zanella azqb triunfo,comprometida
565,aa    ,aseg circulaba ardoino pasa paso nivel colisiona tercero superpone delante aseg contramano frena repente parte delantera aseg parte trasera luego tercero baja golpea aseg parte delantera lesiones desplazamientossin intervencion movil policial,comprometida
566,am    ,asegurado maniobraba cmte luis piedrabuena doblar hacia cnel francisco uzal colisiona parte delantera parte lateral delantera moto circulaba ultima unico ocupante moto tenia cayo piso presentaba dolor clavicula muneca trasladado htal vicente lopez intervencion policiald,comprometida
567,am    ,asegurado maniobrando salir estacionado f m esquiu tercero moto circulaba misma impacta puertas izquierda aseg cae pavimento llevaba puesto patente intervencion policial retiro moto,comprometida
568,am    ,aseg detiene semaforo san martin cambia semaforo maniobra marcha atras sobrepasar detenido impacta levemente parte trasera ro moto detras desplazamientos lesionados moto cae ,comprometida
569,am    ,aseg circulaba puerto argentino llegar interseccion cuba aseg moto venia ultima colisiona lateral derecha frente moto moto tenia sufre lesiones ,concurrente
570,am    ,vhc asegurado circulando juan b justo llegar interseccion argerich colisionado parte trasera rueda delantera tercero circulaba detras solo ocupante cae piso incorpora solo quejaba dolencia estomago ,discutida
571,am    ,vhc asegurado circulando avda maria eva peron circunstancias incorporando senillosa colisionado parte delantera tercero moto circulaba ultima alta velocidad solo ocupante cae piso repuso momento deseo recibir atencion medica ,comprometida
572,am    ,circulando centenario uruguayo llegando julio camioneta polica bruscamente poner luz giro balizas subi vereda equina ingresar lavadero acciono frenos giro esquivo moto vena atras mo intent esquivarme inclinar moto pierde control cae costado sola persona tenia puesto retira propios medios,comprometida
573,aa    ,asegurado circulaba mayo embisti frente parte trasera tercero detuvo delante cruce transversal lesiones desplazamientos,comprometida
574,aa    ,circulaba flores cruzar defilippi tercero venia ultima colisona frente lateral derecha desplazamientos lesionados,concurrente
575,am    ,asegurado circulaba au buen ayre colisionado parte lateral moto circulaba misma unico ocupante moto tenia cayo piso presentaba lesiones retiro propiso medios intervencion medica policial comunicamos v asegurado manifest haber formalizado denuncia compania respecto hecho manifieseta bajaba salida buen ayre luego tena subir puente bajando puente moto clava frenos evitar impactarlo ah pierde control impacta puerta auto asegurado admite dobla subir puente prest colaboracin hacer croquis especificar dnde circulaba moto mecabnica relata parece claro rodado asegurado interpuo carril marcha motocicleta moto impact puerta rodado asgurado dice tener contacto tercero quedo informarlo participo tercero tendria lesiones leves,comprometida
576,am    ,asegurado circulando jose leon suarez giro colocado hacia tomar colorada realizar maniobra embestido parte trasera tercero circulaba mismo moto ocupante cae paviemento asiste asiste levanta propios medios desplazamientoste asegurada,comprometida
577,peatã“n,an saliendom marcha atreas esstacionada playon municipal toco cuidador autos parte trasera derecha brazo izquierda cayendo piso parte levanto propios medios sion in tervencion,comprometida
578,am    ,aseg maniobraba salir encontraba estacionado colisiona lateral delantero derecha moto circulaba motociclista utilizaba cay pavimento result lesionado intervinieron motociclista familiares llevaron hospital controlar,comprometida
579,am    ,aseg circulaba au embestida lateral trasero derecha moto circulaba misma motociclista utilizaba cayo pavimento presentaba lesiones visibles trasladado centro medico interv policias,comprometida
580,am    ,encontraba circulando maipda bernal direccin hacia avellaneda llego zeballos dejo pasar varios autos comienzo cruzar zeballos moto gran velocidad pasa zevallos hacia dardo rocha toco parte delantera haciendo ambos muchachos cayeran dela moto costado parecan adoloridos decidieron irse cuenta,comprometida
581,am    ,vehculo asegurado circulaba alvarez thomas llegar interseccin sucre impactado espejo izquierda moto circulaba alvarez thomas desplazamientos moto ocupante cay piso manifest dolencias trasladado htal tornu int cria c cel aseg,comprometida
582,am    ,vhl asg circulando corrientes vhl tercero moto circulando almirante brown asegurado indica interseccion ambas llegando final bocacalle parte trasera parte terceroel tercero va acompanado menor ambos llevan cascocaen pisoel tercero ayudado levantarse manifiesta dolor brazo izquierda ,comprometida
583,am    ,asegurado frena esquina poder estacionar ve chica conducia moto toca desestabiliza desplaza auto estacionado cae venia sola trasladan hospital peron,comprometida
584,mm    ,circulaba moto pastorino decido doblar tomar roque saenz pena tome cuenta tenia moto doble peque rueda delantera rueda trasera cayo moto tambien,comprometida
585,am    ,asegurado circulando rodriguez esquivar tercero colisionado lateral izquierda tercero moto persona tercero retira propios medios,comprometida
586,aa    ,circulando rosario llegar interseccion plata giro senor intentaba cruzar detiene retomo marcha vuelve avanzar poder evitar impactarlo,comprometida
587,am    ,circulando peron giro ingresar san antonio mitad cuadra freno moto venia detras colisiona parte trasera moto iban personas caen piso lesiones visibles ,comprometida
588,am    ,asegurado detenido semaforo mariano acosta moto tambien detenida pone semaforo arranco adelanta doblar hacia arranque embiste puerta delantera moto iba sola persona tenis cae suelo levanta propios medios ,comprometida
589,am    ,asegurado circulaba araujo interseccion artigas produce colision tercero moto personas cuales lleveban cascoproducto mismo asegurado sufre danos parte delantera derecha ,comprometida
590,aa    ,redgreenlue asegurado circulando avda cramer colisionado lateral derecha tercero moto personas retiran propios medios,comprometida
591,am    ,vehculo asegurado circulaba carril central caba moto carril derecha vehculo sobrepasa asegurado encierra provocando asegurado efectdae maniobra termina colisin moto,comprometida
592,aa    ,vehculo asegurado cirulaba san martin impacta parte delantera parte trasera tercero circulaba adelante gir senalizar tomar tucuman desplazamientos vehculo tercero manifest dolor int medica int policial amplio aseguradocomenta ambos circulaban san martin quilmes hacia arco calzada iba bastante velocidad interseccion tercero ford focus dobla hacia tucuman pese frenar asegurado derrapa impacta tercero paragolpes trasero causa golpe doblaba cerrado tercero impacta frente poste ,comprometida
593,am    ,vhc asegurado circulando triunvirato encandilado juego luces hacia vhc circulaba percata moto precedia detuvo delante vhc asegurado colisiona parte delantera solo ocupante traia cae piso lesiones evidentes ,comprometida
594,am    ,vena circulando mosconi aproximadamente manana pasando semaforo cambio color siento colisin motociclista vena circulando velocidad constante cuenca impact puerta atras adelante cayendo sufriendo traumatismos leves,concurrente
595,am    ,circulando santa cruz llegar interseccion uspallata moto circulaba ultima embiste lateral derecha moto circulaba persona cayo pavimento levanta propios medios ,comprometida
596,peatã“n,nuera asegurado circulaba lara llegar interseccion basavilbaso gira hacia mitad atras colectivo sale imprevistamente peaton poder conductora asegurado evitar embestirlacae cinta asfaltica levanta manifestando varios doloreses trasladada hospital local canuelas hablo conductora asegurada ,concurrente
597,am    ,ingresando lentamente garage casa doblando hacia sent parte inferior vehculo parte moto haba resbalado danico tripulante cay reincorpor propios medios luego retirarse intervencin polica,comprometida
598,aa    ,aseg circulaba bragado cruzar cosquin colisionado parte delantera lateral izquierda tercero circulaba daltima tercero presenta dolor producto desplazamientos ,comprometida
599,am    ,circulaba ruta auto iba delante mo frena golpe doblar hacia poner luz giro chocarlo intento esquivarlo hago moto choca costado auto,comprometida
600,aci   ,asegurado circulaba garcia rio cruzar cramer frena ve bicicleta termina impactando lateral delantero izquierda cae suelo tena corte lleva htal pirovano ,comprometida
601,aci   ,asegurado saliendo posicion estacionado bicicleta circulaba misma golpea auto asegurado lateral derecha ciclista cae bicicleta suelo ,comprometida
602,am    ,circulando herrera direccion h irigoyen motos venian misma direccion jugando picadas pierden contros tirandose laterales cada moto viajaban individuos resultaron lesionados intervencion policial datos terceros,comprometida
603,aa    ,asegurado circulando juan b justo dobla san martin impacta tercero moto lateral izquierda lateral derecha trasero mismo desplazamientos cae pavimento luego retira propios medios,comprometida
604,am    ,asegurado circulaba lagoria llegar interseccin ascasubi moto transitaba ascasubi aparece asegurado puede evitar impactar parte frontal unidad ocupantes moto tena puesto cayeron suelo asegurado llev medico bien,concurrente
605,am    ,aseg circulaba tupac amaru llega interseccion remigio lopez detiene transito observa venia nadie doblar remigio lopez moto circulaba ve aseg colisiona aseg lateral izquierda moto moto llevaba cae levanta momento indica duele presenta lesiones momento ,comprometida
606,am    ,detenido semaforo medrano da luz pongo primera moto quiere pasar invade carril engancha chapa patente tercero cae piso levanta propios medios ,concurrente
607,am    ,aseg circulaba tacuari cruzar interseccion impacta parte delantera moto ocupantes circulaba ciudadela ocupantes caen piso tenian tenian lesiones aparentes van propios medios intervinientes,comprometida
608,am    ,saliendo estacionamiento ubicado olazabal vehiculo asegurado embestido guardabarro delantero izquierda motocicleta aparecio medio auto estacionado detenido doble fila motocicleta iban personas ninguna cayo piso sufrio lesiones acompanante motociclista persona sexo masculino aprox anos edad intercambio datos asegurado ambos retiraron lugar bordo motocicleta funcionando motocicleta llevaba mismo tenia colocado correctamente acompanante tenia intervencin policial datos tercero canaza flores eleuterio motomel grk liderar seguros,comprometida
609,am    ,circulando ombu casi habia traspasado camacua embiste moto lateral derecha trasero circulaba alta velocidad moto cae aparentemente fractura muneca moto venia solo ,concurrente
610,am    ,circulaba saavedra llegar esquina chiclana doy cuenta haca contramano entonces moto vena delante mio frena motivo choco atras caen piso tenias varios dolores golpes moto iban personas ambos caen paviemento incorporan medios ofrece asistencia medica niegan intercambiamos datos retiran lugar,comprometida
611,am    ,asegurado estacionado nazca abre puerta delantera colisiona tercero moto circulaba nazca moto llega pavimento manifesto dolencias desplazamientos,comprometida
612,aci   ,vehiculo estacionado motor apagado abro puerta delantera bicicleta impacta misma detras bicicleta impacta primer bicicleta ambos conductores biciclitas caen suelo sufren lesiones traslados same hospital pirovano mas involucrados cel ,comprometida
613,am    ,mecanica hecho segun version asegurado vehiculo asegurado encontraba circulando brasil vehiculo tercero moto venia estanislao campo termina impactando parte delantera letaral derecha asegurado moto ocupante caen piso solo ocupante presenta dolores derecha puede apoyarlos ,comprometida
614,aci   ,estacionado rivadavia abro puerta subir vehiculo bicicleta choca puerta delantera asegurado ciclista cae piso perdida conocimiento ,comprometida
615,aci   ,circulando corrientes freno senora venia acompanante abre puerta delantera momento pasaba bici misma embiste puerta unico ocupante bici cae pavimento levanta propios medios tenia raspones altura ,comprometida
616,am    ,redgreenlue asegurado circulando eva peron h yrigoyen impactado lateral derecha tercero circulaba ultima mencionada gira tambien continuar eva peron moto sola persona cae ,concurrente
617,am    ,vhc asegurado circulando corrientes guino encendido pronto doblar lavalleja colisionado lateral trasero izquierda manubrio tercero moto iba circulando intenta detenerse desestabilizarse calzada resbalosa impacta vhc asegurado solo ocupante cae piso incorpora solo intervinieron retira medios desplazamientos,comprometida
618,am    ,saliendo estacionar marcha atras potosi colisiono moto sola persona cae suelo colocado presentaba golpe leve ,comprometida
619,am    ,vehiculo asegurado circulando gaona momento dispone girar izquierda hacia juan b justo moto circulaba ultima colisiona parte lateral delantera moto circulaba sola persona cae piso utilizaba ,concurrente
620,am    ,circulaba loreto cruce santa rosa casi tomando chilavertcontinuacion loreto moto venia santa rosa embiste aprte delantera arranca paragolpe moto sola persona cae piso llevo htal zonal ,concurrente
621,am    ,circulando segui pongo guino girar ingresar juan b justo momento moto circulaba detras mio ve colisiona lateral derecha moto cae lesiona pasamos datos va propios medios lesionados terceros involucrados datos tercero telleria juan geronimo honda cg ivs atm,comprometida
622,am    ,circulaba juan b justo diaz velez cruzar donato alvarez parna quedar medio acomodo moto venia donato alvarez frena derrapa cayendose piso conductora moto moto paso medio t,comprometida
623,am    ,vhc asegurado circulando sarmiento maniobrar hacia ingresar garage luz giro produce lateral delantero espejo rueda delantera tercero moto circulaba misma pegada cordon solo tripulante cae piso incorporo incorpora solo acusa dolor dedo ,comprometida
624,aa    ,circulando esquida llegar interseccin albarinos ingreso daltima contramano retomar juan b justo anterior aguilar cortada llegar juan bjusto quiero doblar hacia tomar daltima entonces tercero circulaba juan bjusto tambien pas colisionamos parte frente tercero,comprometida
625,aa    ,asegurado circulando ruta colisiona parte delantera parte trasera tercero circulaba delante mismo producto desplazamiento tercero colisiona parte delantera parte trasera tercero circulaba delante mismo dio fuga lesionados,comprometida
626,aa    ,circulando au panamericana au llena asegurado pierde control hace trompos colisiona guardarrail posible colision tercero colisiona tambien guardarrail aseg desconoce ocurri colision lesionado ero corte frente trasladado,comprometida
627,am    ,asegurado circulando gibraltar colisionado lateral derecha moto circulaba necochea desplazamientos personas circulaban moto unicamente puesto cayeron piso ,concurrente
628,aa    ,vehculo asegurado circulaba dr salvador sallares cruzar interseccin gral san martin detiene vehculo circulando daltima desliza raz produce parte delantera parte delantera tercero desplazamientos tercero manifestaba dolores cervicales intervension policila tercero manifest dolor cervical int medica policial,comprometida
629,am    ,aseg circulaba sequeira doblar tomar carue embiste lateral trasero derecha moto circulaba misma motociclista acompanante utilizaban cayeron pavimento presenntaban lesiones visibles intercambiaron datos retiraron lugar propios medios intervencion policias,comprometida
630,am    ,asegurado estacionar cavia colisiona moto venia misma ocupantes moto colocado caen suelo luego levantan acompanante manifestaba dolores intervencion policial tel asegurado,comprometida
631,am    ,acompanante auto abrio puerta bajar auto moto colisiono puerta,comprometida
632,am    ,circulando rios moto colombia engancha patente cae venia solo tenia dolor raspones desplazamientos,comprometida
633,aci   ,asegurada abrir puerta delantera descender estacionadoes embestido puerta ciclista pasabael ciclista caese levanta medios pudiendo inconvenientes llama mismo trabajo same siendo trasladado santoiani lesiones aparentes tercero llevaba cascoasegurada tambien llamo same,comprometida
634,am    ,circulando crisologo larralde llegar interseccion cnel magan semaforo funcionaba correctamente esquina moto viene embiste parte delatera cae capot choca parabrisastenia puestohubo presencia policial traslado hospital peron,concurrente
635,am    ,asegurado circulando julio giro tomar mayo girar mayo moto colisiona parte trasera rueda cayendo incorpora propios medios lesiones visibles acerca oficial corrobora habia lesiones da intervencion judicial tampoco tercero retira propios medios,comprometida
636,am    ,circulaba r flacon altura liniers vehiculo precedia frena abruptamente volanteo levemente hacia evitar chocarlo hago veo moto venia circulando impacta pdi sola persona moto cae piso ayudo levantarse sube moto retira propios medios desplazamiento motociclista sufrio lesiones,comprometida
637,aa    ,circulaba hipolito yrigoyen voy girar hacia espana tercero venia misma contrario vio tercero colisiono rueda auxilio,discutida
638,am    ,circulaba zuviria girar hacia tomar davila colisiono lateral derecha tercero moto persona circulaba zuviria persona cayo asfalto luego intercambiar datos retiro cuenta observaron lesiones simple vista solo aducia dolor ofrezoc asistencia dijo bien ,comprometida
639,peatã“n,redgreenlue avda pern esperando semaforo rojoacto seguido peatones cruzan avda quedando final cantero inicio marcha rueda auto parecer dan mochila rueditas segdan anciano peatones llevaba nena salia colegio tercerosexo femenino menor edad desconoce datos terceros retiraron propios medios ,comprometida
640,aci   ,lugar ocurrencia valentin alsina farina montegrande circulando valentin alsina repente encierro bicicleta venia rozo parte delantera bicicleta iba sola persona cayo piso levanto propios medios vino,comprometida
641,am    ,aseg circulando yerbal carril izquierda colisionado tercero moto cirulaba yerbal adelanta aseg colisiona parte delantera lateral moto habia solo ocupante puesto cayo piso manifesto dolencia ,comprometida
642,aci   ,circulaba venezuela llegar esquina corta venezuela dobla virrey liniers senda peatonal bici embiste parte delantera cae piso levanta solo lleva same secuestro autoasegurado ,comprometida
643,am    ,venia rucci llegando esquina bermudez moto frena bruscamente llego frena toco cae iba arriba tambien intervencio policial ambulancias intente asistirla espero marido llegue co moto marcho remis supuestamente medico datos tercero rebeca estefania medina rios corven mirage atm,comprometida
644,am    ,mecanica hecho segun version asegurado circulando juan b justo giro san martin detiene transito momento impactado lateral delantero derecha tercero circulaba misma juan b justo cae suelo asistido lesion brazo mas involucrados lesionados trasladan htal alvarez posible quebradura brazo cel acta adjuntada aseg formalizacion surge transitaba j b justo doblar tomar san martin moto impacta rueda delantera tercera trasladada samesl practico alcoholemia aseguradad,comprometida
645,am    ,asegurado circulaba perda llegar interseccin marcn detiene chevrole captiva transitaba marcn parece asegurado dteine tambien asegurado retoma marcha moto transitaba marcn aprece asegurado sobrepasa chevrolet captiva asegurado frena golpea parte frontal moto lacual pierde equilibri cae suelo motociclista viajaba solo tena asegurado ayud motociclista levantarse ,comprometida
646,aa    ,asegurado circulando gral belgrano colisiona extremo delantero izquierda extremo delantero derecha tercero circulando colectorasin lesionessin desplazamientos,comprometida
647,aci   ,aseg encontraba detenido dejando pasar venian cnel s carreras avanzar bicicleta venia contrario pasa medio aseg aseg embiste parte delantera parte bicicleta cae suelo lesiones visibles manifestaba dolencias retiro propios medios andar bicicleta rueda torcida producto intervencion solo intervencion constato bien,comprometida
648,peaton,asegurado circulando aranguren termina girar hidalgo impacta lateral delantero derecha peaton calzada hidalgo pasando senda peatonal peaton cae calzada ,comprometida
649,aa    ,circulaba acassuso llegar interseccin canada gomez vehiculo venia frena da paso cruzando vehiculo peugeot patente sag adelanta detras vehiculo acelera colisiona lateral trasero derecha hija asegurado resulta lesiones cervicales tercero dijo staba pro estacionar da fuga ademas posee dano estacionamiento lateral izquierda,concurrente
650,am    ,circulando maipda llego interseccin ohiggins intento ingresar hacia daltima doblando hacia veo moto intentaba pasar entonces enderezo vehculo todas formas moto impacta paragolpe trasero tripulantes moto cayeron ,comprometida
651,am    ,circulando namuncura doblar lituania tercero moto venia embiste lateral cae piso recuerdo tenia ,comprometida
652,aci   ,aseg circulaba vergara encierra vehiculo aseg colisiona parte lateral espejo retrovisor bicicleta circulaba misma aseg cae piso ocupante ,comprometida
653,aa    ,asegurado encontraba circulando asegurado directoriovh tercero directorioasegurado iba circulando carril centro vehiculo lado derecha encierra asegurado asegurado maniobrando roza vehiculo tercero vehiculo asegurado roza parte delantera causando danos lateral derecha lesionados intervencion intervencion policial desplazamiento,comprometida
654,aa    ,aseg circulaba peri san martin cerrito l mirador tercero delante frena aseg choca parte trasera parte delantera lesiones despl,comprometida
655,aci   ,mecanica hecho segun version asegurado circulando recuerda bicicleta sale repente lado izquierda colisinando auto aseguradosin proteccion cae piso solo observa golpe debajo asegurada ofrece asistentencia llamar ciclista niega trabajando retira lugar mas,concurrente
656,aa    ,aseg circulando virgilioal llegar interseccioncolisiona paragolpe delantero lateral delantero izquierda terceroque circulaba mcervantessin desplazamientossin lesiones,comprometida
657,aa    ,aseg circulaba conde llegar interseccion ugarte aseg venia nadie cruzando ro venia ugarte colisiona aseg lateral derecha parte delantera parte delantera ro aseg trasladado manejaba ro tambien trasladada ,comprometida
658,am    ,asegurado circulaba arce doblar hacia hacia gorostiaga embestido moto lateral izquierda desconoce circulaba misma moto tenia cae piso manifestaba lesiones retira propios medios ,comprometida
659,peaton,circulando picaflor doblar san martin senora cruzando asegurado toca rueda trasera desplazamientos persona cayo piso llevo medico hospital quedo observacion clinica belgrano,comprometida
660,am    ,encontraba circulando antartida argentina doblar letonia colisiona moto parte delantera derecha moto cayo llevaba cascollamaron trasladaron comisaria terceo hospitalen comisaria tomaron declaraicon lugar acerco same datos tercero luis alberto rodriguez honda xr aqgh atm,comprometida
661,aa    ,circulaba rosario vera penaloza vehiculo circula delante mio detiene marcha forma abrupta colisiono,comprometida
662,aa    ,encontraba circulando baja velocidad repente tercero frena golpe embisto parte trasera parte delantera lesionados mas terceros datos tercero comas juan marcelo chevrolet corsa ola orbis,comprometida
663,am    ,aminoro marcha moto impacta parte trasera produce caida motociclista ,comprometida
664,peatã“n,venia carril izquierda velocidad paso escucho ruido vio espejo retrovisor peatn cado comunciamos asegurado manifiesta venia larrea dobla tomar bartolome mitre delante senda peatonal produce accidente sintio ruido vio previamente peatona luego frena ve caida senora llevaba bolsos mercaderia cayo haci vereda ,comprometida
665,am    ,circulaba escobar lado cordn toque moto circulaba conducia chica tenia misma cayo cordon quejaba golpe haber moto encima moto blanca quiso llamara hiba llamar papa intercambiamos datos,comprometida
666,am    ,asegurado circulando mayo maniobrar ngresar moreno colisionado tercero moto circulaba tambien mayo colisiona espejo retrovisor derecha aseg producto mismo tercero cae piso levanta medios llevaba puesto intervencion policial retiro moto,comprometida
667,am    ,mecanica hecho segdan version asegurado circulaba baja velocidad liniers direccion acceso panamericana ramal tigre bruscamente senti ruido parte trasera vehiculo frene comprobe moto persona incorporo inmediatamente habia embestido intentar adelantarse motorista levanto propios medios manifesto bien intercambio libremente conmigo datos seguro datos tercero lucas alonso guerrero ibk mecanica hecho segdan tercero circulaba liniers asegurado gira encerrandolo cae pisod,comprometida
668,aa    ,vhc asegurado circulando au perito moreno tras cruzar zuviria embestido lateral izquierda parte delantera tercero circulaba ultima mencionada acompanante asegurado amiga corte facial ,concurrente
669,am    ,asegurado detenido pieres cruzar castro impactado parte delantera elemento desprende chocar vehiculos alli ro iba adelante dle asegurado chocado moto circulaba castro,discutida
670,am    ,circulaba pardo oeste altura mendoza embestido tercero venia contraria misma colisionando parte frontal parte frontal unidad,comprometida
671,aa    ,vehiculo asegurado circulaba puerto palos interseccion suarez colisionado lateral delantero izquierda parte delantera tercero circulaba ultima raiz asegurado desplazado colisionando persiana local tercero trasladado htal argerich,discutida
672,am    ,aseg circulando ihuergoal girar hacia interseccioncolisiona paragolpe delantero parte trasera terceroque circulaba ihuergoun ocupantecon cascose cae pisono ,comprometida
673,am    ,dia fecha venia circulando supisiche mitre llegar bocacalle mara campos intento pasar vehculo balizas segunda fila abrirme veo moto circulaba mara campos doblaba hacia supisiche envisto paragolpes guardabarros derecha ,comprometida
674,am    ,asegurado circulaba maquinista carregal colisiona parte delantera moto circulaba ing guillermo marconi unico ocupante moto tenia cayo piso presentaba lesiones varias retiro propios medios intervencion policial solo tomar datos,comprometida
675,aci   ,circulando peron asegurado ve ciclista toca cae piso iva solo bici dolia,comprometida
676,am    ,asegurado circulando besares interseccion paso colisiona extremo delantero derecha moto circulando ultima cae piso incorpora medios indicaba dolencia retira medios asegurado ,comprometida
677,am    ,aseg maniobrando doblar hacia italia camion mal estacionado misma pierde visibilidad aseg tercero circulando misma contraria contramano impacta parte delantera parte delantera tercero solo ocupante cae piso lesiones brazo intervencion retiraron trabajo cancelan tercero jefe medico aseg menciona tercero seguro registro,comprometida
678,am    ,asegurado circulando ruta detiene incendiaba vehiculo adelante abre puerta asistir incendio embestido puerta tercero circulaba moto ocupante cae pavimento levanta propios medios asiste asiste asegurado lleva hospitalsin desplazamientos,comprometida
679,am    ,circulando malabia llegar bocacalle avanzo moto arquimedes derecha colisiona frente personas misma mayores cazco menores caen suelo intervieme llevados hospital trauma,comprometida
680,peaton,circulando betinotti dobla persona cruzando toca espejo retrovisor derecha mujuer cae piso,comprometida
681,am    ,aseegurado circulando graham bell doblar hacia bucetich embestido moto circulando graham bell contraria lateral derecha aseg lugar deriva hptal moreno golpe ,comprometida
682,aci   ,aseg circulando eva peron doblar pumacahua conteiner tapan vision ve habia tercero bicicleta impacta parte delantera tercero cae capot despues suelo asistido trasladan hospital,comprometida
683,am    ,mecanica hecho segun version aseguradofs asegurado circulaba peron detenerse luz giro ingresar hacia estacionamiento supermercado embestido parte trasera moto circulaba detras moto iba solo ocupante cae piso tenia desconoce tenia puesto momento siniestro moto trasladado hospital trauma pablo nogues asegurado trasladado comisaria comisaria polvorines desplazamiento,concurrente
684,aa    ,asegurado circulando autopista embestido parte trasera tercero circulaba mismo parte delantera asiste autopista tercero desplaza embiste divisor cemento habria sufrido lesiones ampliacin aseguradoel venia circulando acceso oeste altura km salida reja encontraba circulando modo crucero velocidad km hora aproximadamente desactiva modo crucero mts calzada reducia obras reduce velocidad parte trasera realizo ningun movimiento cambio carril luego siniestro llamo recuerda comisaria ,discutida
685,am    ,asegurado circulando rivera hacia merlo moto circulaba mismo sobrepasa colisiona espejo retrovisor externo izquierda moto llevaba cae piso retira propios medios asegurado frena repentinamente vehiculo venia atras colsiona frente parte trasera desplazamiento lesionados ,comprometida
686,am    ,vehiculo asegurado circulaba vito saviagirando izquierda moto proveniente salcedo venia contrariocon frenteel motociclista caellevaba casco,comprometida
687,am    ,lugar ocurrencia autopista julio caba circulando autopista altura constitucin tiro banquina colisionado moto venia alta velocidad danandome parte trasera desplace impacte parte delantera moto iban personas recuerdo usaban cayeron piso intervencion asisti llevandolo hospital,comprometida
688,am    ,asegurado circulaba corrientes colisionado parte delantera moto maniobra cambiar carril misma moto tenia ocupantes ambos tenian cayeron piso presentaban lesiones visibles retiraron porpios medios intervencion medica policial,concurrente
689,peaton,redgreenlue mecanica hecho segun version asegurado saliendo garage hija toco parte trasera auto peaton hecho sucedido intenso trafico mal estacionado peaton manifesto dolor tobillo ,comprometida
690,am    ,circulando moto venia detras realiza maniobra coloca delante vhacto seguido frena yotambien intento frenar llego hacerlo completo colisiono parte parte trasel unico ocupante cae pisoel asegurado aca detiene marcha pocos mts delantepara ofrecer asistenciael ro levanto propios medios espero intercambiar datos asegurado aca interseccion einsteinluego acerca fliaramigo ro quedando aseg aca tomar datosel retira sabe mediono intervencion same datos tercero gonzalez gaston morales honda c titan aszp atm,comprometida
691,am    ,circulaba corrientes girando hacia pasteur moto circulaba corrientes unico ocupante d ela moto cae piso presentaba escoriaciones brazo ,comprometida
692,am    ,asegurado circulando moreno querer girar cambiar carril colisionado angulo trasero izquierda tercero moto persona tercero cae piso golpes codo tobillos tercero retira propios medios,comprometida
693,am    ,circulaba lincoln gira hacia derecha gabriela mistral impacta lateral delantero derecha moto circulaba lincoln cordon moto cae piso tenia indico tener dolor trasladado same hospital zubizarreta ,comprometida
